Freq p' spl
0 0.0356999269 65.0327466
10.0160256 0.0356394647 65.0180235
20.0320513 0.0354750422 64.9778585
30.0480769 0.0352676789 64.9269377
40.0641026 0.0350923008 64.8836369
50.0801282 0.0350463495 64.8722559
60.0961538 0.0352901694 64.9324749
70.1121795 0.0361644583 65.1450394
80.1282051 0.0386692834 65.7267226
90.1442308 0.0478892485 67.5841605
100.160256 1.23225368 95.7934026
110.176282 0.0118804026 55.4760232
120.192308 0.017652586 58.9155668
130.208333 0.0197467884 59.8893295
140.224359 0.0205395671 60.2312258
150.240385 0.0207894334 60.3362532
160.25641 0.0207656356 60.3263046
170.272436 0.0205935576 60.2540277
180.288462 0.0203285777 60.14154
190.304487 0.0200084185 60.0036553
200.320513 0.0197162108 59.8758691
210.336538 0.0192852833 59.6839206
220.352564 0.0188982566 59.5078349
230.36859 0.0185027268 59.3241148
240.384615 0.0181016623 59.1337693
250.400641 0.0177026476 58.9401645
260.416667 0.0173070195 58.7438458
270.432692 0.0169142702 58.5444654
280.448718 0.0165413471 58.3508176
290.464744 0.0162285632 58.1850015
300.480769 0.0150556303 57.5333789
310.496795 0.0151585329 57.5925435
320.512821 0.0148403956 57.4083096
330.528846 0.0144880615 57.1996057
340.544872 0.0141301037 56.9823071
350.560897 0.0137706422 56.758484
360.576923 0.013407903 56.5266172
370.592949 0.0130550257 56.2949547
380.608974 0.0126854412 56.0455116
390.625 0.0123341563 55.801589
400.641026 0.0119802609 55.5487256
410.657051 0.01164387 55.301347
420.673077 0.0113096606 55.0483915
430.689103 0.0109601962 54.7757667
440.705128 0.0106180894 54.5003276
450.721154 0.0102768944 54.216638
460.737179 0.00993966747 53.9268372
470.753205 0.00961283088 53.6364261
480.769231 0.00928747206 53.3373505
490.785256 0.00903248269 53.0955428
500.801282 0.00710476557 51.0103951
510.817308 0.00816300036 52.2163964
520.833333 0.00791563178 51.9491118
530.849359 0.00764461382 51.6465111
540.865385 0.00736955234 51.3282222
550.88141 0.00710831414 51.0147323
560.897436 0.00684883906 50.6917393
570.913462 0.00660270107 50.3738328
580.929487 0.00636843206 50.0600505
590.945513 0.00613698161 49.7384965
600.961538 0.0059186701 49.4238828
610.977564 0.00571324953 49.1170639
620.99359 0.00551660599 48.8128394
631.009615 0.0053300012 48.5139462
641.025641 0.0051541945 48.2226161
651.041667 0.00499002688 47.9414578
661.057692 0.00484011681 47.6765169
671.073718 0.00471935581 47.4570545
681.089744 0.00463590145 47.302084
691.105769 0.00477244565 47.5542199
701.121795 0.00257497182 42.1948497
711.137821 0.00352656404 44.9264356
721.153846 0.00355110117 44.986661
731.169872 0.00346669468 44.777712
741.185897 0.00334432344 44.4655656
751.201923 0.00319493849 44.0686501
761.217949 0.00304829663 43.6605446
771.233974 0.00286980479 43.1364472
781.25 0.00271137298 42.6431854
791.266026 0.00255182735 42.1164258
801.282051 0.00238243656 41.519827
811.298077 0.00221447345 40.8848096
821.314103 0.00204286307 40.1841852
831.330128 0.00186767386 39.4054209
841.346154 0.00172373805 38.7088254
851.362179 0.00158341563 37.9712986
861.378205 0.00153592792 37.7068168
871.394231 0.00159945978 38.0588666
881.410256 0.00192719718 39.6779231
891.426282 0.00324353372 44.1997684
901.442308 0.0140342709 56.9231972
911.458333 0.00100958508 34.0622585
921.474359 0.000243691384 21.7162036
931.490385 0.000511879852 28.1627608
941.50641 0.000784591791 31.8722753
951.522436 0.00100991182 34.0650692
961.538462 0.00122120493 35.7151711
971.554487 0.00138801807 36.8273025
981.570513 0.00155111234 37.7922652
991.586538 0.00170454182 38.6115533
1001.60256 0.00184438348 39.2964245
1011.61859 0.00194406102 39.753598
1021.63462 0.0020348975 40.1502509
1031.65064 0.00210307097 40.4364787
1041.66667 0.00215593298 40.6521052
1051.68269 0.00218598044 40.7723255
1061.69872 0.00219681291 40.8152615
1071.71474 0.00219913213 40.8244266
1081.73077 0.00220192676 40.8354575
1091.74679 0.00226675243 41.0874819
1101.76282 0.00140920474 36.958882
