Time R-A_pFluct R-B_pFluct R-C_pFluct R-D_pFluct R-E_pFluct R-F_pFluct 
0.0193075 0.571017492 0.269081964 0.175768773 0.130472256 0.103728326 0.0512151605 
0.01931 0.57758639 0.272356516 0.177950216 0.132107824 0.105036549 0.0518690681 
0.0193125 0.584155285 0.275631096 0.180131674 0.133743401 0.106344778 0.0525229768 
0.019315 0.590723976 0.278905593 0.182313071 0.13537893 0.107652967 0.0531768639 
0.0193175 0.597292262 0.282179898 0.184494334 0.137014355 0.108961071 0.0538307082 
0.01932 0.603859939 0.2854539 0.186675388 0.138649618 0.110269045 0.0544844865 
0.0193225 0.610426798 0.288727488 0.188856155 0.140284665 0.111576845 0.0551381753 
0.019325 0.616992638 0.292000551 0.191036563 0.14191944 0.112884425 0.0557917508 
0.0193275 0.623557251 0.295272979 0.193216539 0.143553887 0.114191739 0.0564451889 
0.01933 0.630120427 0.298544656 0.195396007 0.145187945 0.115498739 0.0570984649 
0.0193325 0.636681957 0.301815473 0.197574889 0.146821555 0.116805375 0.0577515543 
0.019335 0.643241632 0.305085322 0.199753106 0.148454656 0.118111599 0.0584044322 
0.0193375 0.649799241 0.30835409 0.201930579 0.150087189 0.119417363 0.0590570743 
0.01934 0.656354568 0.311621663 0.204107227 0.151719091 0.120722617 0.0597094553 
0.0193425 0.662907401 0.314887919 0.206282968 0.1533503 0.122027311 0.0603615536 
0.019345 0.669457523 0.318152741 0.208457721 0.154980758 0.123331401 0.0610133526 
0.0193475 0.67600472 0.321416011 0.210631408 0.156610413 0.124634852 0.0616648376 
0.01935 0.682548773 0.324677605 0.212803962 0.158239227 0.125937635 0.0623159958 
0.0193525 0.689089469 0.32793741 0.214975332 0.159867166 0.127239725 0.0629668148 
0.019355 0.695626591 0.331195329 0.217145473 0.161494198 0.128541097 0.0636172826 
0.0193575 0.702159931 0.334451284 0.219314341 0.163120292 0.129841727 0.0642673874 
0.01936 0.708689271 0.33770521 0.221481901 0.164745421 0.131141593 0.064917118 
0.0193625 0.715214383 0.340957046 0.223648112 0.166369555 0.132440671 0.0655664626 
0.019365 0.721735044 0.344206735 0.225812938 0.167992667 0.13373894 0.0662154105 
0.0193675 0.728251027 0.347454221 0.227976341 0.169614728 0.135036377 0.0668639501 
0.01937 0.734762138 0.35069945 0.230138285 0.171235712 0.13633296 0.0675120706 
0.0193725 0.741268226 0.353942369 0.232298735 0.172855593 0.137628668 0.0681597617 
0.019375 0.747769167 0.357182926 0.234457656 0.174474344 0.13892348 0.068807012 
0.0193775 0.754264848 0.360421068 0.236615013 0.176091938 0.140217375 0.0694538113 
0.01938 0.760755162 0.363656744 0.238770773 0.177708349 0.141510331 0.0701001494 
