Time R-A_pFluct R-B_pFluct R-C_pFluct R-D_pFluct R-E_pFluct R-F_pFluct 
0.07171 -10.373951 -5.51900409 -3.54782465 -2.69042089 -2.15792396 -1.08463213 
0.0717125 -10.3811398 -4.78470834 -3.57336863 -2.69142878 -2.15868865 -1.08497294 
0.071715 -10.388304 -5.56478439 -3.57481953 -2.69243012 -2.1594481 -1.08531109 
0.0717175 -10.3954432 -5.28624082 -3.57626188 -2.69342498 -2.16020235 -1.08564661 
0.07172 -10.4025577 -5.3230921 -3.57769556 -2.69441331 -2.16095132 -1.08597949 
0.0717225 -10.4096473 -5.32557863 -3.57912058 -2.69539507 -2.16169506 -1.08630974 
0.071725 -10.416712 -5.32805236 -3.58053697 -2.69637037 -2.1624336 -1.08663736 
0.0717275 -9.92695586 -5.33051323 -3.58194473 -2.69733914 -2.16316687 -1.08696233 
0.07173 -11.1581949 -5.33296134 -3.58334385 -2.69830137 -2.1638949 -1.08728463 
0.0717325 -10.7728852 -5.33539664 -3.5847343 -2.69925707 -2.1646177 -1.08760435 
0.071735 -9.54190105 -5.33781914 -3.58611614 -2.70020627 -2.16533526 -1.08792138 
0.0717375 -10.8213426 -5.34022881 -3.58748929 -2.70114889 -2.16604758 -1.08823578 
0.07174 -10.4307836 -5.34262563 -3.58885381 -2.70208507 -2.16675465 -1.08854754 
0.0717425 -10.4606489 -5.34500976 -3.59020973 -2.70301463 -2.16745644 -1.08885665 
0.071745 -10.4723368 -5.34738097 -3.59155689 -2.70393766 -2.16815302 -1.08916309 
0.0717475 -10.4791789 -5.34973938 -3.59289545 -2.70485418 -2.1688443 -1.0894669 
0.07175 -10.4859956 -5.35208499 -3.59422526 -2.70576408 -2.16953031 -1.08976804 
0.0717525 -10.4927879 -5.35441772 -3.59554646 -2.70666744 -2.17021105 -1.0900665 
0.071755 -10.4995556 -5.3567375 -3.59685885 -2.70756423 -2.17088652 -1.09036233 
0.0717575 -10.5062984 -5.35904446 -3.59816257 -2.70845443 -2.17155667 -1.09065548 
0.07176 -10.5130164 -5.36133851 -3.59945763 -2.70933805 -2.17222159 -1.090946 
0.0717625 -10.5197096 -5.36361963 -3.60074392 -2.71021517 -2.17288124 -1.09123383 
0.071765 -10.5263781 -5.36588792 -3.60202159 -2.71108564 -2.1735356 -1.09151903 
0.0717675 -10.5330216 -5.36814331 -3.60329049 -2.71194964 -2.17418469 -1.09180156 
0.07177 -10.5396402 -5.37038587 -3.60455081 -2.71280702 -2.17482854 -1.09208144 
0.0717725 -10.5462344 -5.37261557 -3.60580232 -2.71365786 -2.17546707 -1.09235865 
0.071775 -10.5528033 -5.37483224 -3.60704523 -2.71450208 -2.17610034 -1.0926332 
0.0717775 -10.5593478 -5.37703628 -3.60827931 -2.71533978 -2.17672833 -1.09290508 
0.07178 -10.5658673 -5.37922722 -3.60950481 -2.71617088 -2.17735102 -1.09317429 
