Time R-A_pFluct R-B_pFluct R-C_pFluct R-D_pFluct R-E_pFluct R-F_pFluct 
0.05916 -0.852760285 -0.415799621 -0.275355259 -0.20589172 -0.164429824 -0.0819492847 
0.0591625 -0.852100429 -0.415483583 -0.275147787 -0.205737178 -0.16430664 -0.0818882013 
0.059165 -0.851438207 -0.415166343 -0.27493951 -0.205581991 -0.164182936 -0.0818268679 
0.0591675 -0.850773591 -0.414847897 -0.274730401 -0.20542615 -0.164058716 -0.0817652845 
0.05917 -0.850106587 -0.414528235 -0.274520446 -0.205269653 -0.163933978 -0.0817034497 
0.0591725 -0.849437236 -0.414207338 -0.274309645 -0.205112506 -0.163808734 -0.0816413603 
0.059175 -0.848765556 -0.413885204 -0.274098004 -0.204954711 -0.163682994 -0.0815790139 
0.0591775 -0.848091515 -0.41356187 -0.273885518 -0.204796267 -0.163556756 -0.0815164096 
0.05918 -0.847415081 -0.413237377 -0.273672166 -0.204637183 -0.163430016 -0.0814535508 
0.0591825 -0.846736236 -0.412911755 -0.273457936 -0.204477475 -0.163302776 -0.0813904414 
0.059185 -0.846054979 -0.412585015 -0.273242833 -0.204317145 -0.163175035 -0.0813270834 
0.0591875 -0.845371318 -0.412257131 -0.273026864 -0.204156188 -0.163046789 -0.0812634761 
0.05919 -0.844685269 -0.411928052 -0.272810029 -0.203994605 -0.162918032 -0.0811996155 
0.0591925 -0.843996854 -0.411597735 -0.272592332 -0.203832397 -0.16278876 -0.0811354995 
0.059195 -0.843306073 -0.411266152 -0.27237379 -0.203669559 -0.162658976 -0.0810711297 
0.0591975 -0.842612914 -0.410933295 -0.272154414 -0.203506084 -0.162528685 -0.0810065075 
0.0592 -0.841917368 -0.410599174 -0.271934204 -0.203341968 -0.162397893 -0.0809416331 
0.0592025 -0.841219425 -0.410263799 -0.271713158 -0.203177211 -0.162266606 -0.0808765065 
0.059205 -0.840519129 -0.409927158 -0.271491279 -0.203011819 -0.162134818 -0.0808111295 
0.0592075 -0.839816545 -0.409589221 -0.271268563 -0.202845798 -0.16200252 -0.0807455037 
0.05921 -0.839111679 -0.409249971 -0.271045002 -0.202679156 -0.161869711 -0.0806796269 
0.0592125 -0.838404533 -0.408909409 -0.27082059 -0.202511892 -0.161736395 -0.0806134944 
0.059215 -0.837695069 -0.408567544 -0.270595325 -0.202343993 -0.161602576 -0.0805471027 
0.0592175 -0.83698322 -0.40822438 -0.270369214 -0.202175455 -0.161468252 -0.0804804542 
0.05922 -0.836268938 -0.407879934 -0.27014226 -0.202006282 -0.161333427 -0.0804135526 
0.0592225 -0.835552196 -0.40753422 -0.269914475 -0.201836478 -0.161198104 -0.0803464003 
0.059225 -0.834832987 -0.407187241 -0.26968586 -0.201666045 -0.161062281 -0.0802789996 
0.0592275 -0.834111327 -0.406839 -0.269456407 -0.201494986 -0.160925949 -0.0802113517 
0.05923 -0.833387251 -0.40648951 -0.269226107 -0.201323305 -0.1607891 -0.0801434572 
0.0592325 -0.832660784 -0.40613877 -0.268994956 -0.201150998 -0.160651738 -0.0800753172 
0.059235 -0.831931946 -0.405786772 -0.268762962 -0.200978056 -0.160513868 -0.0800069308 
0.0592375 -0.831200757 -0.40543351 -0.26853013 -0.200804469 -0.160375496 -0.0799382948 
0.05924 -0.830467209 -0.405078981 -0.268296464 -0.200630242 -0.160236625 -0.0798694092 
0.0592425 -0.829731271 -0.404723187 -0.268061971 -0.20045538 -0.160097259 -0.0798002777 
0.059245 -0.828992914 -0.404366135 -0.267826644 -0.20027989 -0.159957403 -0.0797309016 
0.0592475 -0.828252126 -0.404007832 -0.267590471 -0.200103777 -0.159817057 -0.0796612761 
0.05925 -0.827508927 -0.403648281 -0.267353442 -0.199927044 -0.159676225 -0.0795913941 
0.0592525 -0.826763357 -0.40328748 -0.26711556 -0.199749698 -0.159534901 -0.0795212529 
0.059255 -0.826015478 -0.40292542 -0.266876833 -0.199571743 -0.159393084 -0.0794508541 
0.0592575 -0.825265378 -0.402562095 -0.266637269 -0.199393181 -0.159250775 -0.0793801994 
0.05926 -0.82451307 -0.402197503 -0.266396875 -0.19921401 -0.159107982 -0.079309294 
