# Region type : patch sphere
#      Faces  : 40
#      Area   : 6.276727658e-02
#           Time	areaAverage(p)	areaAverage(U)
         0.00175	1.013333548e+05	(-1.619378109e-19 0.000000000e+00 1.619378109e-19)
        0.001775	1.013333804e+05	(-2.429067164e-19 0.000000000e+00 0.000000000e+00)
          0.0018	1.013334034e+05	(0.000000000e+00 0.000000000e+00 2.698963515e-20)
        0.001825	1.013334235e+05	(-5.397927031e-20 0.000000000e+00 2.698963515e-20)
         0.00185	1.013334402e+05	(3.238756218e-19 0.000000000e+00 -2.968859867e-19)
        0.001875	1.013334531e+05	(3.508652570e-19 0.000000000e+00 -3.778548921e-19)
          0.0019	1.013334619e+05	(-5.397927031e-19 0.000000000e+00 5.128030679e-19)
        0.001925	1.013334663e+05	(2.698963515e-20 0.000000000e+00 -5.397927031e-20)
         0.00195	1.013334661e+05	(3.508652570e-19 0.000000000e+00 -3.238756218e-19)
        0.001975	1.013334614e+05	(-1.079585406e-19 0.000000000e+00 -3.508652570e-19)
           0.002	1.013334519e+05	(-2.698963515e-20 0.000000000e+00 2.429067164e-19)
        0.002025	1.013334379e+05	(2.159170812e-19 0.000000000e+00 -2.429067164e-19)
         0.00205	1.013334194e+05	(0.000000000e+00 0.000000000e+00 -4.048445273e-19)
        0.002075	1.013333967e+05	(-2.698963515e-20 0.000000000e+00 -5.937719734e-19)
          0.0021	1.013333699e+05	(-2.698963515e-20 0.000000000e+00 5.397927031e-20)
        0.002125	1.013333393e+05	(8.096890546e-20 0.000000000e+00 3.508652570e-19)
         0.00215	1.013333052e+05	(-2.698963515e-20 0.000000000e+00 -2.698963515e-20)
        0.002175	1.013332679e+05	(-6.747408788e-19 0.000000000e+00 -1.349481758e-19)
          0.0022	1.013332276e+05	(5.397927031e-20 0.000000000e+00 -4.858134328e-19)
        0.002225	1.013331847e+05	(-2.698963515e-20 0.000000000e+00 2.698963515e-20)
         0.00225	1.013331394e+05	(-3.238756218e-19 0.000000000e+00 3.238756218e-19)
        0.002275	1.013330919e+05	(-1.349481758e-19 0.000000000e+00 -8.096890546e-20)
          0.0023	1.013330424e+05	(-1.889274461e-19 0.000000000e+00 4.048445273e-19)
        0.002325	1.013329910e+05	(-1.079585406e-19 0.000000000e+00 -3.238756218e-19)
         0.00235	1.013329379e+05	(-8.096890546e-20 0.000000000e+00 5.397927031e-20)
        0.002375	1.013328830e+05	(-1.349481758e-19 0.000000000e+00 8.096890546e-20)
          0.0024	1.013328264e+05	(0.000000000e+00 0.000000000e+00 0.000000000e+00)
        0.002425	1.013327681e+05	(5.397927031e-20 0.000000000e+00 -4.858134328e-19)
         0.00245	1.013327080e+05	(5.397927031e-20 0.000000000e+00 -5.397927031e-20)
        0.002475	1.013326461e+05	(2.159170812e-19 0.000000000e+00 -2.429067164e-19)
          0.0025	1.013325823e+05	(-1.349481758e-19 0.000000000e+00 1.619378109e-19)
        0.002525	1.013325164e+05	(-1.079585406e-19 0.000000000e+00 5.397927031e-19)
         0.00255	1.013324485e+05	(-2.698963515e-20 0.000000000e+00 2.429067164e-19)
        0.002575	1.013323783e+05	(-1.349481758e-19 0.000000000e+00 -2.429067164e-19)
          0.0026	1.013323058e+05	(-5.397927031e-20 0.000000000e+00 5.397927031e-20)
        0.002625	1.013322309e+05	(-2.968859867e-19 0.000000000e+00 5.128030679e-19)
         0.00265	1.013321536e+05	(1.349481758e-19 0.000000000e+00 -5.937719734e-19)
        0.002675	1.013320738e+05	(-5.397927031e-20 0.000000000e+00 2.698963515e-20)
          0.0027	1.013319914e+05	(-1.079585406e-19 0.000000000e+00 5.128030679e-19)
        0.002725	1.013319066e+05	(-1.349481758e-19 0.000000000e+00 1.349481758e-19)
         0.00275	1.013318193e+05	(1.079585406e-19 0.000000000e+00 1.079585406e-19)
        0.002775	1.013317295e+05	(2.698963515e-20 0.000000000e+00 -2.698963515e-20)
          0.0028	1.013316373e+05	(-2.429067164e-19 0.000000000e+00 2.429067164e-19)
        0.002825	1.013315427e+05	(-2.698963515e-20 0.000000000e+00 -4.588237976e-19)
         0.00285	1.013314459e+05	(1.079585406e-19 0.000000000e+00 1.079585406e-19)
        0.002875	1.013313470e+05	(-5.128030679e-19 0.000000000e+00 8.096890546e-20)
          0.0029	1.013312460e+05	(-8.096890546e-20 0.000000000e+00 -2.968859867e-19)
        0.002925	1.013311432e+05	(-3.238756218e-19 0.000000000e+00 1.079585406e-19)
         0.00295	1.013310386e+05	(1.079585406e-19 0.000000000e+00 2.968859867e-19)
        0.002975	1.013309324e+05	(-1.889274461e-19 0.000000000e+00 1.619378109e-19)
           0.003	1.013308249e+05	(8.096890546e-20 0.000000000e+00 -8.096890546e-20)
        0.003025	1.013307161e+05	(8.096890546e-20 0.000000000e+00 1.079585406e-19)
