Time R-A_pFluct R-B_pFluct R-C_pFluct R-D_pFluct R-E_pFluct R-F_pFluct 
0.004155 0.0909899168 0.0437514125 0.0287907146 0.0214531046 0.0170956893 0.00848152811 
0.0041575 0.0897835402 0.0431404987 0.0283818373 0.0211458609 0.0168496132 0.00835821634 
0.00416 0.0885687606 0.0425255487 0.0279703046 0.0208366384 0.0166019603 0.00823412217 
0.0041625 0.0873457024 0.0419066258 0.0275561588 0.0205254692 0.0163527562 0.00810925804 
0.004165 0.0861144942 0.0412837956 0.0271394439 0.0202123861 0.0161020268 0.00798363587 
0.0041675 0.0848752679 0.0406571261 0.0267202052 0.0198974221 0.0158497968 0.00785726701 
0.00417 0.0836281613 0.040026688 0.0262984875 0.0195806076 0.0155960901 0.00773016278 
0.0041725 0.0823733164 0.0393925531 0.0258743328 0.0192619727 0.0153409301 0.00760233467 
0.004175 0.0811108803 0.0387547915 0.0254477821 0.0189415473 0.0150843406 0.00747379442 
0.0041775 0.0798410054 0.0381134696 0.025018877 0.018619362 0.014826346 0.00734455418 
0.00418 0.078563849 0.0374686529 0.0245876595 0.0182954485 0.0145669716 0.00721462653 
0.0041825 0.0772795729 0.0368204075 0.0241541731 0.017969839 0.0143062432 0.00708402437 
0.004185 0.0759883428 0.036168801 0.0237184625 0.0176425671 0.0140441876 0.00695276104 
0.0041875 0.0746903253 0.0355139022 0.0232805734 0.0173136671 0.0137808321 0.00682085027 
0.00419 0.0733856796 0.0348557822 0.022840553 0.0169831742 0.0135162051 0.00668830616 
0.0041925 0.0720745604 0.0341945138 0.0223984497 0.0166511248 0.0132503356 0.00655514326 
0.004195 0.070757121 0.0335301713 0.021954313 0.016317556 0.0129832532 0.00642137643 
0.0041975 0.0694335165 0.032862831 0.0215081936 0.0159825058 0.0127149886 0.00628702097 
0.0042 0.0681039044 0.0321925706 0.0210601437 0.0156460134 0.0124455729 0.00615209254 
0.0042025 0.0667684451 0.0315194701 0.0206102163 0.0153081188 0.0121750382 0.00601660715 
0.004205 0.0654273018 0.0308436107 0.020158466 0.0149688627 0.0119034173 0.00588058117 
0.0042075 0.0640806409 0.0301650755 0.0197049483 0.014628287 0.0116307435 0.00574403144 
0.00421 0.0627286315 0.0294839495 0.0192497199 0.0142864343 0.0113570509 0.0056069751 
0.0042125 0.0613714459 0.0288003191 0.0187928388 0.013943348 0.0110823746 0.00546942969 
0.004215 0.0600092594 0.0281142726 0.0183343638 0.0135990727 0.0108067501 0.00533141308 
0.0042175 0.0586422503 0.0274258997 0.0178743552 0.0132536535 0.0105302137 0.00519294346 
0.00422 0.057270599 0.0267352917 0.0174128742 0.0129071366 0.0102528023 0.00505403938 
0.0042225 0.0558944894 0.0260425409 0.0169499831 0.0125595688 0.00997455361 0.00491471982 
0.004225 0.0545141076 0.025347742 0.0164857451 0.0122109978 0.00969550564 0.00477500404 
0.0042275 0.0531296428 0.0246509909 0.0160202246 0.0118614719 0.00941569752 0.00463491155 
0.00423 0.0517412863 0.0239523845 0.0155534866 0.0115110405 0.00913516868 0.00449446215 
0.0042325 0.0503492318 0.0232520214 0.0150855977 0.0111597535 0.00885395911 0.0043536759 
0.004235 0.0489536757 0.0225500014 0.014616625 0.0108076614 0.00857210923 0.00421257309 
0.0042375 0.0475548161 0.0218464252 0.0141466364 0.0104548152 0.00828965995 0.00407117428 
0.00424 0.0461528534 0.0211413953 0.0136757005 0.0101012665 0.00800665266 0.00392950023 
0.0042425 0.0447479899 0.0204350153 0.0132038864 0.00974706752 0.00772312913 0.00378757183 
0.004245 0.0433404292 0.0197273895 0.0127312643 0.00939227079 0.0074391315 0.00364541023 
0.0042475 0.041930378 0.0190186228 0.0122579045 0.00903692922 0.0071547021 0.00350303677 
0.00425 0.0405180437 0.0183088211 0.0117838781 0.00868109611 0.00686988372 0.00336047305 
0.0042525 0.0391036356 0.0175980911 0.0113092562 0.00832482519 0.00658471953 0.0032177404 
0.004255 0.0376873641 0.0168865399 0.0108341106 0.0079681706 0.00629925268 0.00307485948 
0.0042575 0.0362694406 0.0161742751 0.0103585135 0.00761118632 0.00601352524 0.00293185051 
0.00426 0.0348500775 0.0154614044 0.00988253714 0.00725392443 0.00572757808 0.00278873348 
0.0042625 0.0334294888 0.0147480362 0.00940625154 0.00689643562 0.00544145138 0.00264552836 
0.004265 0.0320078893 0.0140342788 0.00892972467 0.00653877008 0.00515518515 0.0025022551 
0.0042675 0.0305854936 0.0133202392 0.00845302358 0.00618097765 0.00486881921 0.00235893378 
0.00427 0.0291625161 0.0126060203 0.0079762147 0.00582310805 0.00458239343 0.00221558435 
0.0042725 0.0277391717 0.0118917227 0.00749936409 0.00546521099 0.00429594771 0.00207222676 
0.004275 0.0263156752 0.0111774459 0.00702253776 0.00510733615 0.00400952173 0.00192888081 
0.0042775 0.0248922404 0.0104632884 0.00654580154 0.00474953287 0.00372315493 0.00178556624 
0.00428 0.0234690811 0.0097493479 0.00606922094 0.00439185019 0.00343688656 0.0016423027 
0.0042825 0.0220464097 0.00903572189 0.00559286099 0.00403433691 0.00315075564 0.0014991097 
0.004285 0.0206244358 0.00832250742 0.0051167862 0.00367704132 0.0028648008 0.00135600656 
0.0042875 0.0192033627 0.00760980055 0.00464106038 0.00332001137 0.00257906043 0.00121301254 
0.00429 0.017783387 0.00689769649 0.00416574697 0.00296329455 0.00229357252 0.00107014664 
0.0042925 0.0163646995 0.00618628923 0.00369090849 0.00260693787 0.00200837468 0.000927427665 
0.004295 0.0149474887 0.00547567165 0.00321660696 0.00225098773 0.00172350405 0.000784874238 
0.0042975 0.0135319395 0.00476593557 0.00274290335 0.00189548999 0.00143899734 0.000642504716 
0.0043 0.0121182346 0.00405717143 0.00226985805 0.00154048985 0.00115489068 0.00050033718 
0.0043025 0.0107065534 0.00334946831 0.00179753029 0.0011860318 0.000871219706 0.000358389466 
0.004305 0.00929707321 0.0026429138 0.00132597842 0.000832159645 0.000588019445 0.00021667905 
0.0043075 0.00788996867 0.0019375939 0.000855259909 0.000478916362 0.000305324238 7.52231275e-05 
0.00431 0.00648541114 0.001233593 0.000385430826 0.00012634403 2.31677342e-05 -6.59614035e-05 
0.0043125 0.00508356849 0.000530993992 -8.34537126e-05 -0.000225516118 -0.000258417017 -0.000206858027 
0.004315 0.00368460462 -0.000170122303 -0.000551340058 -0.000576623751 -0.000539397755 -0.000347450591 
0.0043175 0.00228867971 -0.000869677041 -0.00101817573 -0.000926939421 -0.0008197429 -0.0004877233 
0.00432 0.00089595038 -0.0015675932 -0.00148390933 -0.00127642467 -0.00109942173 -0.000627660768 
0.0043225 -0.000493431191 -0.00226379592 -0.00194849105 -0.00162504212 -0.00137840431 -0.000767248043 
0.004325 -0.00187931703 -0.00295821265 -0.00241187246 -0.00197275548 -0.0016566616 -0.000906470588 
0.0043275 -0.0032615636 -0.00365077255 -0.00287400653 -0.00231952941 -0.00193416539 -0.00104531437 
0.00433 -0.00464003132 -0.00434140726 -0.00333484769 -0.00266532988 -0.00221088846 -0.00118376577 
0.0043325 -0.00601458602 -0.0050300508 -0.00379435208 -0.00301012399 -0.00248680459 -0.00132181182 
0.004335 -0.00738509745 -0.00571663932 -0.00425247732 -0.00335388025 -0.00276188866 -0.00145944027 
0.0043375 -0.00875144123 -0.00640111156 -0.00470918305 -0.0036965684 -0.00303611674 -0.00159663989 
0.00434 -0.0101134968 -0.00708340884 -0.00516443046 -0.00403815999 -0.00330946689 -0.00173340042 
0.0043425 -0.0114711499 -0.00776347513 -0.00561818312 -0.00437862909 -0.00358191913 -0.00186971237 
0.004345 -0.0128242906 -0.00844125694 -0.00607040759 -0.00471795232 -0.00385345521 -0.00200556689 
0.0043475 -0.0141728147 -0.00911670423 -0.00652107401 -0.00505610833 -0.00412405836 -0.00214095577 
0.00435 -0.0155166225 -0.00978977042 -0.00697015531 -0.00539307749 -0.00439371302 -0.00227587134 
0.0043525 -0.0168556204 -0.0104604143 -0.00741762683 -0.00572884169 -0.00466240485 -0.00241030661 
0.004355 -0.0181897197 -0.0111285996 -0.00786346615 -0.00606338439 -0.00493012073 -0.00254425552 
0.0043575 -0.0195188375 -0.0117942942 -0.00830765278 -0.00639669044 -0.0051968491 -0.00267771296 
0.00436 -0.0208428962 -0.012457469 -0.00875016816 -0.00672874699 -0.00546258038 -0.00281067464 
0.0043625 -0.0221618242 -0.0131180983 -0.00919099657 -0.00705954363 -0.00572730675 -0.00294313695 
0.004365 -0.0234755557 -0.0137761591 -0.00963012533 -0.00738907198 -0.00599102182 -0.0030750969 
0.0043675 -0.024784032 -0.0144316317 -0.0100675448 -0.00771732558 -0.00625372058 -0.00320655213 
0.00437 -0.0260872021 -0.0150845012 -0.0105032479 -0.00804429936 -0.00651539917 -0.00333750083 
0.0043725 -0.0273850249 -0.0157347573 -0.0109372293 -0.00836998987 -0.00677605491 -0.00346794176 
0.004375 -0.0286774692 -0.0163823934 -0.011369486 -0.00869439501 -0.00703568626 -0.00359787421 
0.0043775 -0.029964511 -0.0170274067 -0.0118000169 -0.0090175141 -0.00729429266 -0.00372729792 
0.00438 -0.0312461326 -0.0176697968 -0.0122288224 -0.00933934764 -0.00755187465 -0.00385621317 
0.0043825 -0.0325223226 -0.0183095667 -0.0126559049 -0.00965989752 -0.00780843364 -0.0039846207 
0.004385 -0.033793075 -0.0189467219 -0.0130812683 -0.00997916658 -0.00806397204 -0.00411252183 
0.0043875 -0.0350583906 -0.01958127 -0.013504918 -0.0102971591 -0.00831849338 -0.00423991843 
0.00439 -0.0363182787 -0.0202132214 -0.0139268613 -0.0106138811 -0.00857200268 -0.00436681325 
0.0043925 -0.037572757 -0.0208425895 -0.0143471085 -0.0109293407 -0.00882450672 -0.00449320977 
0.004395 -0.0388218503 -0.0214693922 -0.0147656722 -0.0112435467 -0.00907601202 -0.0046191109 
0.0043975 -0.040065592 -0.0220936472 -0.015182563 -0.0115565074 -0.00932652549 -0.0047445203 
0.0044 -0.0413040228 -0.0227153736 -0.0155977945 -0.0118682331 -0.00957605546 -0.00486944221 
0.0044025 -0.0425371808 -0.0233345936 -0.016011382 -0.0121787354 -0.00982461127 -0.00499388127 
0.004405 -0.0437651075 -0.0239513322 -0.0164233424 -0.0124880271 -0.010072203 -0.00511784258 
0.0044075 -0.0449878518 -0.0245656164 -0.0168336938 -0.0127961218 -0.0103188417 -0.00524133155 
0.00441 -0.0462054681 -0.0251774751 -0.0172424558 -0.0131030341 -0.010564539 -0.00536435396 
0.0044125 -0.047418016 -0.0257869394 -0.0176496491 -0.0134087795 -0.0108093072 -0.00548691584 
0.004415 -0.0486255592 -0.0263940423 -0.0180552954 -0.0137133741 -0.011053159 -0.00560902355 
0.0044175 -0.0498281659 -0.0269988184 -0.0184594177 -0.0140168348 -0.0112961079 -0.00573068364 
