Time R-A_pFluct R-B_pFluct R-C_pFluct R-D_pFluct R-E_pFluct R-F_pFluct 
0.0820025 0.635810257 0.327718374 0.220581864 0.166215918 0.133345151 0.0670437053 
0.082005 0.636482581 0.32805841 0.220809927 0.166387271 0.133482846 0.0671127946 
0.0820075 0.637152198 0.328396869 0.221037177 0.166558155 0.133620621 0.0671820316 
0.08201 0.637819933 0.32873419 0.221263323 0.166729049 0.133757984 0.067250882 
0.0820125 0.63848508 0.329071303 0.221488841 0.166900128 0.133894494 0.0673189322 
0.082015 0.63915087 0.329407644 0.221714048 0.167070727 0.134031087 0.0673863212 
0.0820175 0.639818093 0.329742807 0.221939026 0.1672402 0.134167637 0.0674539514 
0.08202 0.640489181 0.330077613 0.222164392 0.167409903 0.134303245 0.0675220118 
0.0820225 0.641152449 0.330411775 0.222389627 0.167579406 0.134437179 0.0675901368 
0.082025 0.641808451 0.330744889 0.222613664 0.167747656 0.134570532 0.0676580482 
0.0820275 0.642458741 0.331076786 0.222837219 0.167913768 0.134704009 0.0677257101 
0.08203 0.643109918 0.33140704 0.223060977 0.168079519 0.134838109 0.0677932271 
0.0820325 0.643759635 0.331735583 0.223283304 0.16824541 0.134972111 0.0678605755 
0.082035 0.644405464 0.332064497 0.223503084 0.168411675 0.135105782 0.0679277428 
0.0820375 0.645049816 0.332394065 0.223721553 0.16857784 0.135239009 0.0679947618 
0.08204 0.64569615 0.332723791 0.223940583 0.168743521 0.135371974 0.0680616745 
0.0820425 0.646343705 0.333052169 0.224159497 0.168908797 0.135504666 0.0681283217 
0.082045 0.646991188 0.333380492 0.224378184 0.169073684 0.135637037 0.0681943582 
0.0820475 0.647636678 0.333708186 0.224596244 0.169238285 0.135769173 0.0682599923 
0.08205 0.648280461 0.334033224 0.224813833 0.169402524 0.135900881 0.0683256552 
0.0820525 0.648924421 0.334354109 0.225030977 0.169566505 0.136032262 0.0683910951 
0.082055 0.649563973 0.334674407 0.225247712 0.169729895 0.136162801 0.0684563427 
0.0820575 0.650199692 0.334995959 0.225464105 0.169892772 0.136292066 0.0685215635 
0.08206 0.65083236 0.335317696 0.225680159 0.170054935 0.136421075 0.0685866534 
0.0820625 0.651462262 0.335637226 0.225895671 0.170215641 0.136549818 0.0686515416 
0.082065 0.652088988 0.335954888 0.226110185 0.170375412 0.136678135 0.0687162344 
0.0820675 0.652714461 0.336272045 0.226324131 0.170534953 0.136806379 0.0687807094 
0.08207 0.653339759 0.33658878 0.226537136 0.170694077 0.136934483 0.0688449571 
0.0820725 0.653962955 0.336905164 0.226747945 0.170852945 0.137062253 0.0689089167 
0.082075 0.65458389 0.337221026 0.226957537 0.171011737 0.13718965 0.0689725863 
0.0820775 0.655202622 0.337536788 0.227166954 0.171170204 0.137316609 0.0690360142 
0.08208 0.655818992 0.337851665 0.227375886 0.171328204 0.137443147 0.0690991957 
0.0820825 0.656432969 0.338165148 0.227584551 0.171485687 0.137569157 0.0691620062 
0.082085 0.657045723 0.338477317 0.227793123 0.17164262 0.137694566 0.0692244293 
0.0820875 0.657657094 0.338788856 0.228001256 0.171798949 0.137819429 0.0692864919 
0.08209 0.658265475 0.339098741 0.228208755 0.171954543 0.137943867 0.069348163 
0.0820925 0.658873543 0.339404934 0.228415541 0.172109421 0.138067654 0.0694094142 
0.082095 0.65948065 0.339709297 0.228621592 0.172263715 0.138190681 0.0694703453 
0.0820975 0.660084352 0.340013745 0.228826813 0.172417323 0.138312937 0.0695315351 
0.0821 0.660687281 0.340317612 0.229031046 0.172569997 0.138434571 0.0695928433 
0.0821025 0.661295518 0.340621036 0.22923433 0.172721715 0.138555324 0.0696543701 
0.082105 0.661901085 0.340924459 0.229436844 0.172872591 0.138675129 0.0697159966 
0.0821075 0.662499482 0.341227273 0.229638402 0.173022552 0.138794938 0.0697774377 
0.08211 0.663089914 0.341529103 0.229838717 0.173171262 0.138915168 0.0698383587 
0.0821125 0.663682634 0.341829856 0.23003777 0.173319521 0.139035559 0.0698988481 
0.082115 0.664277513 0.342129462 0.230235742 0.173468171 0.139156441 0.0699589521 
0.0821175 0.664872347 0.342427853 0.230432539 0.173617131 0.139277293 0.0700184553 
0.08212 0.665463023 0.342724767 0.230627522 0.173766536 0.139397405 0.0700770612 
0.0821225 0.666049967 0.343020217 0.230822136 0.173916166 0.139516642 0.0701357141 
0.082125 0.666633719 0.343314458 0.231017088 0.174065282 0.139634897 0.0701943432 
